mapping_key,group_identity,channel_app_id,raw_language_scope,scope_label_non_authoritative,exact_raw_token,exact_raw_token_utf8_base64,exact_raw_token_sha256,book_frequency,occurrence_count,carrier_book_count,representative_book_ids_json,final_disposition,decision_source,consensus_tier,review_confidence,reason,risk
b9262dee87525c3c454090110b3429e5e13e6746599d21015079173312391f0b,3e939445ae21950568b1a5c1996068ed72bbc24c10a4d8fe84affeeab46bbd85,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,LGBT+,TEdCVCs=,e82b54800c798ebb021135f88e2cff0e6d3e47e91823700315eaa27295a3de47,1,1,1,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511380\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,CROSS_REVIEW_FINAL,TIER_5_SOURCE_DIRTY,0.45,f=1，唯一书证（芝加哥娱乐公司CEO诱惑）无法确认同性主线；阿语scope整体包装混乱,B/C: NEW lgbt（字面）
c7db0384a0ae08abcc7e8c57a169136d3aa3d7b405f2bbd0b17102b6bf181e32,4953fd853276f546af100a1ff5f5647872e9cb789172d45290d69e7aad9ee603,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Science-fiction,U2NpZW5jZS1maWN0aW9u,f582c967b32dc65646db699b7fdb8ad3a6a137ae2517bbcd150c61eaf56e0506,1,1,1,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511376\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,CROSS_REVIEW_FINAL,TIER_5_SOURCE_DIRTY,0.42,4/4 HUMAN_REVIEW；交叉验证确认为来源侧脏数据：f=1，书证为亿万富翁一夜情,SOURCE_BUCKET_SEMANTICALLY_DIRTY
c40a596f73ae3ecf4f42e5f635fdd31cda11e5e8832a6daf2ccbc6468e30b916,4d3908cad7d20fa87284a72632b6a7e52e3ab24ebbefd55d9d413250315994d4,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Xuanhuan,WHVhbmh1YW4=,2df2c7c65851681ab61711f88eced8e0be05c839de0e597560480aac9257278a,1,1,1,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511375\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,CROSS_REVIEW_FINAL,TIER_5_SOURCE_DIRTY,0.45,罗马化「玄幻」在非中文scope系统性失真：本scope书证为CEO言情/芭蕾重生/县令穿越混装，与玄幻无关；同字符串结论不得跨scope复制,B: 按书证给modern-romance类目标；C: eastern-fantasy（字面）
5323c809e8288cc036c01e79b873bcb606dc04474f29cfea3da1f3f97a2ad0e6,50eb1c5a35aaa07886846bd41ab590f19932521940f94e2c77ee016fc0c7a5c9,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,古代言情,5Y+k5Luj6KiA5oOF,37c0e6b415e5a4aee67705cf03a5938cf30b5f97b61ccaaeeb3b6e4dd9f91cb7,1,1,1,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511378\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,CROSS_REVIEW_FINAL,TIER_5_SOURCE_DIRTY,0.42,4/4 HUMAN_REVIEW；交叉验证确认为来源侧脏数据：f=1，唯一书证为黑手党救赎（中文标签泄漏进阿语scope）,SOURCE_BUCKET_SEMANTICALLY_DIRTY
f56bbcba38ccdddb1f2264cd6e5e9ce3eaf84e6fcf69d0dcd401df8c61000b68,9ba6a5ddde7634d1069c4ae924826805e3376e3caeaa1ae091a23431cc634337,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""16\""]"",[""string"",""德语""]]",DE,Fantasie,RmFudGFzaWU=,9b697472037e1d2e7fd49f814c6630ba873b083f9f8086e3b6d55b450888cb0f,1,1,1,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""912179497\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""16\\\\\\\""]\\\"",[\\\""string\\\"",\\\""德语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,CROSS_REVIEW_FINAL,TIER_5_SOURCE_DIRTY,0.45,f=1，唯一书证无法确认奇幻机制,A/C: fantasy（字面）
bf127c2ee96192453eabd2008f69c812b155b43e30d2b0b8af591c729653638e,52d80c152c2a25cda1b5c4782e688368f678bb5886eeb81268db092d4b117575,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",EN,History,SGlzdG9yeQ==,0e769600933790607b2a13b33ddfade0fa17810eb62c3b28ee23e59516516491,32,32,32,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""1010165516\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""3428023\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""186675151\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""114114019\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""5598364\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""5600164\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,CROSS_REVIEW_FINAL,TIER_5_SOURCE_DIRTY,0.5,约半数西式历史言情（公爵夫人/大萧条），混入兽人奇幻与公版非虚构；且中文用户点「古代言情」预期中式古装——直接挂入会拉宽语义,A: historical-romance 0.75（已自flag西式历史入古言页的风险）
38b98238e4744826a870a3de995ea0e183bdb9a2fac6249d669ee4de5ee51c16,3e35a6435199fa9fa3943658cfddf63d69987e71a52cad9acba667a7b80e6f1f,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",EN,Horror,SG9ycm9y,271a22f75d73e13fa558d991442ecde8d75a34a0b9f6216d44b116f8612c82dc,68,68,68,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""135138820\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""936451093\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""936451094\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""856013251\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""533147732\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""367267668\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""307165313\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""205912408\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""186675140\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,OWNER_FINAL,TIER_5_SOURCE_DIRTY,0.55,68本中约半数真恐怖（house of horrors系列），半数复仇言情（50/68女频）；整桶挂入新horror标签会带约50%噪声——建议book级过滤后回收，暂DEFER,A/C: NEW horror（A自flag 50%噪声）；B/D: HUMAN_REVIEW
768b4e2c3b72abbaf086d75e74ff360238b030b5d490aa8b6b8506e5b822d5fc,44906d53d4439e23e8fd1f596b41ddce3ca8cb2c98febe180925c462c1d25f19,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",EN,Xuanhuan,WHVhbmh1YW4=,2df2c7c65851681ab61711f88eced8e0be05c839de0e597560480aac9257278a,15,15,15,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""367366979\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""340603210\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""340603211\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""340603212\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""175214174\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""3\\\\\\\""]\\\"",[\\\""string\\\"",\\\""英语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,CROSS_REVIEW_FINAL,TIER_5_SOURCE_DIRTY,0.5,半数为兽人/Omegaverse言情（My Sister Took My Orc），半数修仙系统翻译——挂eastern-fantasy会把兽人言情灌入东方玄幻页；兽人gap已另行登记,B/C: eastern-fantasy（B自flag为过映射）
143ef622ba40a9a0b4c77a8539d4107fed134b606c3e610d2fc93f2158390cb1,78ef0a4fbce6765deca19844c8c7bbaa348e4aea29794778051d9460d9544194,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""4\""]"",[""string"",""西语""]]",ES,Adulto Joven,QWR1bHRvIEpvdmVu,02dccd840235ea7352054b1ac4a6bc3c211bc0931adc12bb6f0a23bab6409a5a,52,52,52,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""184440894\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""2187174\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""2006016\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""1042736484\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""451500484\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""422366528\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""405645707\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""250691223\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,OWNER_FINAL,TIER_5_SOURCE_DIRTY,0.45,青少年标签下装载露骨情色（Toxic/El Arte del Sexo），52本，映射young-adult有分级安全风险；标签与内容系统性冲突,B: young-adult 0.72（分级风险，不采纳）
017a5bf245d94b5124d70902e7c9331678a044d7a268925204678674dc6f6469,45a5aa4c0ba756d2b099426d714efb00ce23562343bfbe47ea74a68e31e57462,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""4\""]"",[""string"",""西语""]]",ES,Historia,SGlzdG9yaWE=,47980267f3cdbed093e7f3e659ca3ec37bf07c64009c690a69f2c76bd2af7432,7,7,7,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""313844666\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""172726788\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""168455106\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""34235214\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""5553778\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""4\\\\\\\""]\\\"",[\\\""string\\\"",\\\""西语\\\""]]\""]""]",DEFER_SOURCE_DIRTY,CROSS_REVIEW_FINAL,TIER_5_SOURCE_DIRTY,0.42,4/4 HUMAN_REVIEW；交叉验证确认为来源侧脏数据：书证为家暴/家庭剧/虐恋，「历史」实为「故事」二义,SOURCE_BUCKET_SEMANTICALLY_DIRTY
