record_type,mapping_key,group_identity,channel_app_id,raw_language_scope,scope_label_non_authoritative,exact_raw_token,exact_raw_token_utf8_base64,exact_raw_token_sha256,book_frequency,occurrence_count,carrier_book_count,representative_book_ids_json,final_disposition,decision_source,consensus_tier,review_confidence,reason,risk,edge_index,fanout,canonical_stable_id,canonical_slug,canonical_display_name_zh,candidate_status
MAPPING_EDGE,3ae9a97ddccca9a39cf7317ec08eabc743034af9b43cfc91f02677de2ae90f25,ab192d2e8ffab954a86d8ce27dc7053ad6065a4553c24e87e1dd13f732dc4b88,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Adolescent,QWRvbGVzY2VudA==,2a8179b03ce566644fd963579db04b98b93f5c8b9c509b51128f561cf38e7660,2,2,2,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511373\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511374\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_2_GOOD,0.79,四家同decision同target；但书证存在部分反证：仅2本，偏青春但样本极小,NONE_IDENTIFIED,1,1,ct-v1-young-adult,young-adult,青少年,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,b8ccfb7b5c452205ca1f0c2b9444e2df59b8332776c430fece3bdabd215972cf,90700a16d126c6a446aa441f26e4df778a5fd775f48eda8c32a28407e37b8304,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Histoire,SGlzdG9pcmU=,7c574fe25d60550a761cfd7c2e3a1c46b8656913a9f26bb72dac406bf8774229,3,3,3,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511367\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511368\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511369\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_4_SPLIT,0.68,2/3书证为重生太子妃/21世纪法医穿越皇室——支持古言；阿语scope样本极小(46本)且包装混乱，低置信接受,C/D: HUMAN_REVIEW（scope证据薄）,1,1,ct-v1-historical-romance,historical-romance,古代言情,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,1de6cfe112f10e6e448f194a3db9ac942f556621730ba1a2111e964a5dd53096,798a95525ed279b1bb613e4a33b6bd2692a8bf46b76be78243a5657b8bb6475b,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Horreur,SG9ycmV1cg==,f4e6ed48bcb9b71397210becffc699c7063a8101506e4e98c030c9b26e5618b9,1,1,1,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511377\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_2_GOOD,0.8,A/B/C提出同一horror概念；本scope书证干净：真鬼屋超自然书证；suspense无法承载恐惧体验检索,D: HUMAN_REVIEW（对全部Horror键一刀切0.47——对本scope过度保守）,1,1,ct-v1-horror,horror,恐怖,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,7e618817e78962da9edb6baf8691390d3b3e2706d15eddc3d09d2539816c7296,5affa2b4656060531905bc9d261acec2c9d80e5f7e50317f70ab536779b7ab63,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Loup-garou,TG91cC1nYXJvdQ==,fdadc1efde6f809533133a97b865fa2f94d246aa5133cd89850185e83b2cd995,1,1,1,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""501327839\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_1_STRONG,0.9,4/4 decision+target一致，代表书证与目标语义相符，无明显反证,NONE_IDENTIFIED,1,1,ct-v1-werewolf,werewolf,狼人,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,9e3e24ba4fec19dadbbdea9febf794490cfcbbf3b3d80363d3a26ff16521de62,c1d9148abaa7e19ab5832be33f455ca8db7fe4765212980176c7d10e359046bf,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Milliardaires,TWlsbGlhcmRhaXJlcw==,7d1e56f3c6ff2e99828a110dd26bc68ec9e682b126308e67a1c843918feeef86,3,3,3,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511370\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511371\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""523511372\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_1_STRONG,0.89,4/4 decision+target一致，代表书证与目标语义相符，无明显反证,NONE_IDENTIFIED,1,1,ct-v1-wealthy-ceo,wealthy-ceo,豪门总裁,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,78f4a1c02b1b798180ad97f2db7e9fe234eadb604ca912f73e598ed8e664503f,36fa223548bfb04f6d1023d5b16e548a8e4c061b89dfb067d92751385a7118d3,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Moderne,TW9kZXJuZQ==,ea2049ce73dc464f4f449f4a570e8f16862bb2225bff80a1c07e2ccbabca49ac,22,22,22,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""1129665198\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""858241524\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""804041227\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""714430113\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""719171748\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_3_TARGET_CONFLICT,0.88,女频共现~100%，书证全为现代豪门婚恋/复仇言情；modern-romance为检索等价入口,C: contemporary-setting（setting facet字面映射，不错但检索价值低）,1,1,ct-v1-modern-romance,modern-romance,现代言情,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,e3784ea74ed2174d2d3a4da726c0dd1ca5b4164798bc9964a131219f5d9c212c,bfe5216b212e210f2188645c9f8dc1692d7f6f3553d8755d81e68091329ab992,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Romance,Um9tYW5jZQ==,3bc3567a7fc6511a85072520dc1bdb95a732c4aee93a6533d53954f39124d7c9,8,8,8,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""1129665199\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""1129665200\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""499606725\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""501327836\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""501327838\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_1_STRONG,0.92,4/4 decision+target一致，代表书证与目标语义相符，无明显反证,NONE_IDENTIFIED,1,1,ct-v1-romance,romance,言情,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,18a02ccab2101dbf41c6d9e07b9d6c8417b38bbd16129c969ae0d09d4a60a50d,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,44,44,44,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""1129665198\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""1129665199\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""1129665200\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""858241524\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""804041227\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""714430113\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""719171748\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_2_GOOD,0.95,A/B/C一致映射；audience已是119正式facet（ct-v1-female-audience存在），书证全为女性向,D: IGNORE（视为运营二分旗——但artifact已建audience facet，忽略反而丢失已建模维度）,1,1,ct-v1-female-audience,female-audience,女性向,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,5f2fdb0935f23f22bcfa8c3234e814bbf9aa47710b7dd7d9ae05870f0e618eaa,ac2a9124a86e647e865dd4128e1a3edc3f1bb86c2ece1a3815209eb62e4998f8,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,男频,55S36aKR,e74d73d99251bb2b99c02896258d9fbcd9817488f6538674fda26534b0b450ac,2,2,2,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""722192196\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]"",""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""499606724\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""10\\\\\\\""]\\\"",[\\\""string\\\"",\\\""阿拉伯语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_2_GOOD,0.92,A/B/C提出同一概念；119只有female-audience无对称男性向入口，8217本可进女性向而1684本男频书无入口，结构性不对称,D: IGNORE（主张女频男频同进同退；若Owner不扩audience则两者一并IGNORE）,1,1,ct-v1-male-audience,male-audience,男性向,APPROVED_OFFLINE_CANDIDATE_ONLY
MAPPING_EDGE,2507c35e8d7b3a7b66c6f2410eca3d57fd4910c273130c5332f6807b163ed1d5,7f0490dd62e61468c15751e6736b5b68a1799e129201984b9648ebcdad953d62,changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""16\""]"",[""string"",""德语""]]",DE,Horror,SG9ycm9y,271a22f75d73e13fa558d991442ecde8d75a34a0b9f6216d44b116f8612c82dc,1,1,1,"[""[\""LANE_B_BOOK_ID_V1\"",\""[\\\""string\\\"",\\\""changdu-app\\\""]\"",\""[\\\""number\\\"",\\\""367168709\\\""]\"",\""[\\\""RAW_LANGUAGE_SCOPE_V1\\\"",\\\""[\\\\\\\""number\\\\\\\"",\\\\\\\""16\\\\\\\""]\\\"",[\\\""string\\\"",\\\""德语\\\""]]\""]""]",APPROVED_MAP_CANDIDATE,CROSS_REVIEW_FINAL,TIER_2_GOOD,0.8,A/B/C提出同一horror概念；本scope书证干净：人相食末世恐怖；suspense无法承载恐惧体验检索,D: HUMAN_REVIEW（对全部Horror键一刀切0.47——对本scope过度保守）,1,1,ct-v1-horror,horror,恐怖,APPROVED_OFFLINE_CANDIDATE_ONLY
