language_json_type,language_json_value_json,language_name_raw,language_name_state,raw_language_scope,site_locale,locale_key,sample_count
number,20,,null,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",1165
number,19,,null,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",1155
number,3,英语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",1095
number,4,西语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""4\""]"",[""string"",""西语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""4\""]"",[""string"",""西语""]]",1090
number,5,葡语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",1085
number,6,法语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""6\""]"",[""string"",""法语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""6\""]"",[""string"",""法语""]]",1085
number,7,俄语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""7\""]"",[""string"",""俄语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""7\""]"",[""string"",""俄语""]]",615
number,11,印尼,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""11\""]"",[""string"",""印尼""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""11\""]"",[""string"",""印尼""]]",551
number,12,泰语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""12\""]"",[""string"",""泰语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""12\""]"",[""string"",""泰语""]]",545
number,9,日语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""9\""]"",[""string"",""日语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""9\""]"",[""string"",""日语""]]",431
number,13,越南语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""13\""]"",[""string"",""越南语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""13\""]"",[""string"",""越南语""]]",309
number,14,韩语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""14\""]"",[""string"",""韩语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""14\""]"",[""string"",""韩语""]]",271
number,22,土耳其语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""22\""]"",[""string"",""土耳其语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""22\""]"",[""string"",""土耳其语""]]",208
number,16,德语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""16\""]"",[""string"",""德语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""16\""]"",[""string"",""德语""]]",171
number,15,菲律宾语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""15\""]"",[""string"",""菲律宾语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""15\""]"",[""string"",""菲律宾语""]]",152
number,10,阿拉伯语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",46
number,8,意大利语,string,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""8\""]"",[""string"",""意大利语""]]",,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""8\""]"",[""string"",""意大利语""]]",26
