source_scope,locale_key,token_key_a,exact_raw_token_a,raw_token_utf8_base64_a,raw_token_sha256_a,token_key_b,exact_raw_token_b,raw_token_utf8_base64_b,raw_token_sha256_b,n_a,n_b,n_ab,jaccard,p_b_given_a,p_a_given_b
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",1de6cfe112f10e6e448f194a3db9ac942f556621730ba1a2111e964a5dd53096,Horreur,SG9ycmV1cg==,f4e6ed48bcb9b71397210becffc699c7063a8101506e4e98c030c9b26e5618b9,75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,1,44,1,0.022727272727,1,0.022727272727
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",3ae9a97ddccca9a39cf7317ec08eabc743034af9b43cfc91f02677de2ae90f25,Adolescent,QWRvbGVzY2VudA==,2a8179b03ce566644fd963579db04b98b93f5c8b9c509b51128f561cf38e7660,75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,2,44,2,0.045454545455,1,0.045454545455
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",5323c809e8288cc036c01e79b873bcb606dc04474f29cfea3da1f3f97a2ad0e6,古代言情,5Y+k5Luj6KiA5oOF,37c0e6b415e5a4aee67705cf03a5938cf30b5f97b61ccaaeeb3b6e4dd9f91cb7,75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,1,44,1,0.022727272727,1,0.022727272727
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",59b85bb4453c8d7376fd95163cbee8167ed7197deb41b88bb80ef96b4b34eefa,Nouvelles,Tm91dmVsbGVz,e2fa678e8c3ee06b6d2f7d93b41ba88f4bc47a5e478f045ea1eff213c57624c4,75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,1,44,1,0.022727272727,1,0.022727272727
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",5f2fdb0935f23f22bcfa8c3234e814bbf9aa47710b7dd7d9ae05870f0e618eaa,男频,55S36aKR,e74d73d99251bb2b99c02896258d9fbcd9817488f6538674fda26534b0b450ac,78f4a1c02b1b798180ad97f2db7e9fe234eadb604ca912f73e598ed8e664503f,Moderne,TW9kZXJuZQ==,ea2049ce73dc464f4f449f4a570e8f16862bb2225bff80a1c07e2ccbabca49ac,2,22,2,0.090909090909,1,0.090909090909
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,78f4a1c02b1b798180ad97f2db7e9fe234eadb604ca912f73e598ed8e664503f,Moderne,TW9kZXJuZQ==,ea2049ce73dc464f4f449f4a570e8f16862bb2225bff80a1c07e2ccbabca49ac,44,22,20,0.434782608696,0.454545454545,0.909090909091
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,7e618817e78962da9edb6baf8691390d3b3e2706d15eddc3d09d2539816c7296,Loup-garou,TG91cC1nYXJvdQ==,fdadc1efde6f809533133a97b865fa2f94d246aa5133cd89850185e83b2cd995,44,1,1,0.022727272727,0.022727272727,1
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,9493a43ef28b9c0e63b17aff62cd6e86fd5c2b01c8ce4a3326235d43a2a66427,Autres,QXV0cmVz,eaa2318178c83b85c5aa677eb3ef6be74372b36353b33a3921ba83b2c4624cf1,44,1,1,0.022727272727,0.022727272727,1
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,9e3e24ba4fec19dadbbdea9febf794490cfcbbf3b3d80363d3a26ff16521de62,Milliardaires,TWlsbGlhcmRhaXJlcw==,7d1e56f3c6ff2e99828a110dd26bc68ec9e682b126308e67a1c843918feeef86,44,3,3,0.068181818182,0.068181818182,1
changdu-app,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",75a6d3266504f7fc84f02ff09cd3efb32d9d4812e8b9de89e6d8ed6d3c9e1444,女频,5aWz6aKR,d9867749ec31f19fe7bfa4a782791bb108a8c9bc80653d481d3f1110f260cebb,b8ccfb7b5c452205ca1f0c2b9444e2df59b8332776c430fece3bdabd215972cf,Histoire,SGlzdG9pcmU=,7c574fe25d60550a761cfd7c2e3a1c46b8656913a9f26bb72dac406bf8774229,44,3,3,0.068181818182,0.068181818182,1
