discovery_stage,checkpoint_scope,raw_language_scope,checkpoint_sample_count,block_sample_count,new_distinct_mapping_keys,cumulative_distinct_mapping_keys,block_novelty_rate
candidate_acquisition,global,,1000,1000,112,112,0.112
candidate_acquisition,global,,2000,1000,53,165,0.053
candidate_acquisition,global,,3000,1000,12,177,0.012
candidate_acquisition,global,,4000,1000,10,187,0.01
candidate_acquisition,global,,5000,1000,11,198,0.011
candidate_acquisition,global,,6000,1000,11,209,0.011
candidate_acquisition,global,,7000,1000,7,216,0.007
candidate_acquisition,global,,8000,1000,18,234,0.018
candidate_acquisition,global,,9000,1000,4,238,0.004
candidate_acquisition,global,,10000,1000,10,248,0.01
candidate_acquisition,global,,11000,1000,5,253,0.005
candidate_acquisition,global,,12000,1000,7,260,0.007
candidate_acquisition,global,,13000,1000,6,266,0.006
candidate_acquisition,global,,14000,1000,5,271,0.005
candidate_acquisition,global,,15000,1000,5,276,0.005
candidate_acquisition,global,,16000,1000,2,278,0.002
candidate_acquisition,global,,17000,1000,1,279,0.001
candidate_acquisition,global,,18000,1000,0,279,0
candidate_acquisition,global,,19000,1000,2,281,0.002
candidate_acquisition,global,,20000,1000,0,281,0
candidate_acquisition,global,,21000,1000,0,281,0
candidate_acquisition,global,,22000,1000,1,282,0.001
candidate_acquisition,global,,23000,1000,1,283,0.001
candidate_acquisition,global,,23998,998,2,285,0.002004008016
final_sample,global,,1000,1000,285,285,0.285
final_sample,global,,2000,1000,0,285,0
final_sample,global,,3000,1000,0,285,0
final_sample,global,,4000,1000,0,285,0
final_sample,global,,5000,1000,0,285,0
final_sample,global,,6000,1000,0,285,0
final_sample,global,,7000,1000,0,285,0
final_sample,global,,8000,1000,0,285,0
final_sample,global,,9000,1000,0,285,0
final_sample,global,,10000,1000,0,285,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",46,46,15,15,0.326086956522
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""11\""]"",[""string"",""印尼""]]",500,500,17,17,0.034
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""11\""]"",[""string"",""印尼""]]",551,51,0,17,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""12\""]"",[""string"",""泰语""]]",500,500,15,15,0.03
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""12\""]"",[""string"",""泰语""]]",545,45,0,15,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""13\""]"",[""string"",""越南语""]]",309,309,14,14,0.045307443366
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""14\""]"",[""string"",""韩语""]]",271,271,14,14,0.051660516605
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""15\""]"",[""string"",""菲律宾语""]]",152,152,13,13,0.085526315789
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""16\""]"",[""string"",""德语""]]",171,171,11,11,0.06432748538
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",500,500,31,31,0.062
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",1000,500,0,31,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",1155,155,0,31,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",500,500,33,33,0.066
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",1000,500,0,33,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",1165,165,0,33,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""22\""]"",[""string"",""土耳其语""]]",208,208,12,12,0.057692307692
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",500,500,19,19,0.038
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",1000,500,0,19,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",1095,95,0,19,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""4\""]"",[""string"",""西语""]]",500,500,18,18,0.036
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""4\""]"",[""string"",""西语""]]",1000,500,0,18,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""4\""]"",[""string"",""西语""]]",1090,90,0,18,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",500,500,17,17,0.034
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",1000,500,0,17,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",1085,85,0,17,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""6\""]"",[""string"",""法语""]]",500,500,17,17,0.034
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""6\""]"",[""string"",""法语""]]",1000,500,0,17,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""6\""]"",[""string"",""法语""]]",1085,85,0,17,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""7\""]"",[""string"",""俄语""]]",500,500,18,18,0.036
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""7\""]"",[""string"",""俄语""]]",615,115,0,18,0
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""8\""]"",[""string"",""意大利语""]]",26,26,5,5,0.192307692308
final_sample,raw_language_scope,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""9\""]"",[""string"",""日语""]]",431,431,16,16,0.037122969838
