canonical_tag,v2_description_edges,v3_description_edges,final_description_edges,delta_v3_to_final,change_reason
ct-v1-chef,72,7,72,+65,GRADE_B_LOCALE_RULE_REMOVED (40% false removal measured)
ct-v1-doctor,47,0,0,+0,GRADE_A_RULE
ct-v1-family,296,0,0,+0,GRADE_A_RULE
ct-v1-first-love,37,38,38,+0,GRADE_A_RULE
ct-v1-forbidden-love,8,10,10,+0,GRADE_A_RULE
ct-v1-genius,131,132,132,+0,GRADE_A_RULE
ct-v1-happy-ending,642,0,0,+0,GRADE_A_RULE
ct-v1-heir,43,52,52,+0,GRADE_A_RULE
ct-v1-horror,118,0,0,+0,GRADE_A_RULE
ct-v1-kung-fu,5,6,6,+0,GRADE_A_RULE
ct-v1-lawyer,11,13,13,+0,GRADE_A_RULE
ct-v1-lgbtq-romance,2,3,3,+0,GRADE_A_RULE
ct-v1-mafia,68,81,81,+0,GRADE_A_RULE
ct-v1-maid,5,8,8,+0,GRADE_A_RULE
ct-v1-marriage,52,76,77,+1,CAP_SLOT_SHIFT
ct-v1-mature-content,12,13,13,+0,GRADE_A_RULE
ct-v1-military,17,20,20,+0,GRADE_A_RULE
ct-v1-mother-in-law,2,4,4,+0,GRADE_A_RULE
ct-v1-office-romance,0,1,1,+0,GRADE_A_RULE
ct-v1-one-night-stand,15,17,17,+0,GRADE_A_RULE
ct-v1-playboy,27,28,28,+0,GRADE_A_RULE
ct-v1-pregnancy,23,38,38,+0,GRADE_A_RULE
ct-v1-princess,69,79,79,+0,GRADE_A_RULE
ct-v1-rebirth,259,260,260,+0,GRADE_A_RULE
ct-v1-redemption,19,22,22,+0,GRADE_A_RULE
ct-v1-regret,29,31,31,+0,GRADE_A_RULE
ct-v1-revenge,76,96,96,+0,GRADE_A_RULE
ct-v1-romance,125,130,130,+0,GRADE_A_RULE
ct-v1-royalty,15,22,22,+0,GRADE_A_RULE
ct-v1-secretary,5,9,9,+0,GRADE_A_RULE
ct-v1-single-mother,0,1,1,+0,GRADE_A_RULE
ct-v1-student,46,52,52,+0,GRADE_A_RULE
ct-v1-supernatural,35,41,41,+0,GRADE_A_RULE
ct-v1-sweetness,11,12,12,+0,GRADE_A_RULE
ct-v1-time-travel,479,480,480,+0,GRADE_A_RULE
ct-v1-tragic-ending,321,0,0,+0,GRADE_A_RULE
ct-v1-urban-setting,2,4,4,+0,GRADE_A_RULE
ct-v1-vampire,18,21,21,+0,GRADE_A_RULE
ct-v1-warrior-protagonist,2,3,3,+0,GRADE_A_RULE
ct-v1-wealthy-ceo,143,156,156,+0,GRADE_A_RULE
ct-v1-werewolf,7,14,14,+0,GRADE_A_RULE
ct-v1-werewolf-alpha,118,127,127,+0,GRADE_A_RULE
ct-v1-werewolf-luna,94,62,0,-62,BARE_WORD_DESCRIPTION_DISABLED (bare luna failed in both directions)
ct-v1-win-back-the-husband,0,1,1,+0,GRADE_A_RULE
