novel_review_id,raw_language_scope,title,description,proposed_tag_count,proposed_tags
nrv_0055339e7ef550d177493456,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",The Return of Tarzan,"In this second addition to Edgar Rice Burroughs' epic adventures of Tarzan, listeners will find the jungle man leaving America to visit old friends in Europe. Through spirals of action, disaster, and shipwreck, we find Tarzan and a group of travelers, including his first love Jane and his new archenemy Rokoff, back in the jungle where he was raised. Encountering even more hardship in the harsh jungle, Tarzan again fights wild animals and savage tribes in the ultimate search for secret buried treasure. This sequel to Tarzan of the Apes sheds even more light on the beloved jungle hero's life, loves, and struggles fitting into human society.",2,ct-v1-first-love|first-love|初恋|first love ;; ct-v1-happy-ending|happy-ending|圆满结局|he
nrv_01c03948ae7beea2f508bcae,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Veins Of Vengeance,"In a world where family ties bind with unbreakable chains, Zara and Damon are caught in a web of loyalty, blood feuds, and forbidden love. The moment their eyes meet, sparks ignite, but their families have been enemies for generations. Zara, the daughter of a powerful crime lord, is promised to a man she does not love, while Damon is the heir to the rival family who killed her brother. As their paths intertwine, the heat of their passion becomes the ultimate betrayal, and every stolen moment could cost them everything. In a world of vengeance and sacrifice, can love survive the storm?",3,ct-v1-crime|crime|犯罪|crime ;; ct-v1-betrayal|betrayal|背叛|betrayal ;; ct-v1-family|family|家庭|family
nrv_0266f51f988b103b64eacfdb,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]","He Broke Me, Another Man Fixed Me","My husband, the ruthless Don of the Parks family, made his choice.

When his mistress burst in screaming that her son was sick, Jackson didn't hesitate. He left me—his wife who had just been poisoned—pinned against the wall to die, rushing to comfort a child who wasn't even his blood.

That night, ""Elena Parks"" died in a fiery car crash.

I spent years rebuilding myself in France, hidden by Hamilton Nixon, a man who loved me in the shadows. I finally found peace. I finally felt free.

But Jackson found out the truth. He discovered the boy was another man's son and that his mistress had been drugging him. Instead of letting me go, his grief turned into a terrifying obsession.

He hunted me down, kidnapped me, and dragged me back to the estate that had been my prison.

I woke up tied to our marriage bed with silk ribbons.

""I'm building a garden,"" he whispered maniacally, stroking my hair as I struggled against the bonds. ""Just like you wanted. We're going to be happy.""

He thought kidnapping was a grand romantic gesture. He thought he could erase the abuse with a fresh coat of paint and forced proximity.

But he underestimated me. And he underestimated Hamilton.

After a violent rescue, I rose from the ashes not as his wife, but as a titan of industry.

Six months later, Jackson stormed the stage at my global summit. He knelt before me on live television, holding a ten-carat pink diamond, thinking he could buy my forgiveness.

""I'm ready to take you back,"" he announced to the world.

I looked at the man who had destroyed me, then at Hamilton, the man who had saved me.

I grabbed Hamilton's lapels and kissed him in front of millions.

""There is no 'us', Jackson,"" I told him into the microphone, watching his world shatter. ""You are just haunting a graveyard.""",2,ct-v1-kidnapping|kidnapping|绑架|kidnapping ;; ct-v1-family|family|家庭|family
nrv_0366a7938c197a436604f747,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""14\""]"",[""string"",""韩语""]]","내 알파의 내연녀, 내 아들의 이름 없는 무덤","아들의 4주기, 나는 아들의 영혼을 달래는 의식을 치르기 위해 팩 기록보관소로 향했다.

하지만 기록에는 내가 도저히 감당할 수 없는 진실이 적혀 있었다. 내 메이트, 알파 도현에게 다른 아이가 있었다. 그가 미친 스토커일 뿐이라고 잡아뗐던 그 암늑대와의 사이에서 낳은 비밀스러운 아들이.

그는 신성한 마인드 링크를 통해 팩에 긴급 상황이 생겼다며 거짓말을 했지만, 나는 그들을 비밀스러운 별장에서 찾아냈다. 그와 그의 정부, 그리고 그들의 아들. 완벽하고 행복한 가족의 모습으로 웃고 있었다.

내 집 차고에 숨어, 나는 내 세상을 산산조각 낸 대화를 엿들었다. 내 아들은 그저 강에 미끄러져 빠진 게 아니었다. 근처에서 벌어진 그들의 무분별하고 거친 교미 소리에 겁을 먹고 공포에 질려 달아났던 것이다.

그들의 불륜이 내 아기를 죽였다.

이 끔찍한 진실이 무너져 내리는 순간, 사랑을 위해 존재해야 할 우리의 메이트 각인은 고문의 도구가 되었다. 내가 숨어있는 곳에서 불과 몇 걸음 떨어진 차 안에서, 그가 다시 그녀를 품는 동안, 나는 그의 쾌락을 매 순간 강제로 느껴야만 했다.

그와 그의 어머니는 나에게 아동 학대 누명을 씌웠고, 내 아들의 뼛가루를 파내 하수구에 흘려보냈으며, 은 채찍으로 나를 때린 후 야생 로그 무리에게 죽으라고 던져버렸다.

하지만 나는 살아남았다. 그리고 선택했다. 복수하지 않겠다. 망각을 택하겠다.

나는 금지된 마법을 행하는 팩을 찾아냈다. 내 기억을 깨끗이 지울 수 있는 의식.

나는 그를, 우리 아들을, 그리고 내 지난 삶의 모든 기억을 지울 것이다. 나는 다시 태어날 것이다.",1,ct-v1-horror|horror|恐怖|공포
nrv_037aaef3161b06b6a7db7e33,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",鳳霸天下：妖孽相公是顆蛋,"她是異世鬼醫，一朝穿越，成為南宮族的廢材三小姐，且看她怎麼在異世大陸釋放異彩，難得的喜歡一樣東西，但是為什麼偏偏是個妖孽，說好的是顆蛋呢？

    南宮月：“妖王殿下，為何外人說你有斷袖之癖呢？”

    妖王殿下：“下次出門，月兒莫再穿小廝衣服，便可為本王平反了。”",1,ct-v1-time-travel|time-travel|穿越|穿越
nrv_04314617575838746a1e2b10,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",The Woman I Saved Destroyed Me,"One moment, I was crossing the street, holding my fiancée Olivia' s hand, laughing about our future.

The next, a careening black sedan was aimed right at her.

There was no time to think; I pushed her to safety, taking the hit myself.

I woke up three years later, my face a ruin, my body a stranger to me.

But the real horror began when I saw Olivia on TV-a celebrity, crying beautiful, convincing tears about her supposedly devoted fiancé, who she visited ""every day.""

She even fooled me, lying there paralyzed in my hospital bed, while I dreamed of returning to her.

After grueling surgeries and therapy, I went home to surprise her.

Instead, I found her celebrating with my best friend, Mark, who confessed they' d let my frail mother ""waste away"" and seized all my assets.

My mother, gone. My home, desecrated.

The woman I saved, the friend I trusted, had systematically destroyed everything I loved, believing I was a ""vegetable.""

My world shattered again, replaced by a burning desire for vengeance.

I was no longer the man I used to be.

I was a ghost, returned to reclaim what was mine and make them pay.",3,ct-v1-entertainment-industry|entertainment-industry|娱乐圈|celebrity ;; ct-v1-horror|horror|恐怖|horror ;; ct-v1-tragic-ending|tragic-ending|悲剧结局|be
nrv_053f7e9209a10556f6ce30be,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",邪王盛寵：神醫嫡女囂張妃,"“娘子，你別跑，快到爲夫碗裏來~” 她本是21世紀的天才醫生，驚才絕豔，意外重生，再睜眼卻成了被人欺凌的鎮南侯府大小姐。 她本應是受盡榮寵的嫡長女，卻被庶母欺，庶妹辱，渣男虐。 當她成爲她，不再懦弱草包，眼底只剩冷意囂張，虐渣鬥庶母，大殺四方。 可那個只見一次面就將祖代相傳的正妻信物給她的男人，這麼隨便真的沒關系嗎？ 說好的不近女色高冷絕情的呢，這位世子爺您整天黏在身邊真的好嗎？
",2,ct-v1-rebirth|rebirth|重生|重生 ;; ct-v1-genius|genius|天才|天才
nrv_056c5ac7811da4a3d47caddb,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",萬界雜貨鋪,"（2018年最火都市爽文，完全免費閱讀）
想要太上老君煉製的極品仙丹來強身健體，補充營養嗎？
想要月老的紅線去撩妹嗎？
想要鐵扇公主同款芭蕉扇作為收藏品嗎？
想要東海龍宮爆款黑珍珠作為情人節禮物嗎？
楊凡無意間成為仙靈空間的掌控者，擁有諸天萬界各種各樣的寶貝，萬壽無疆不再是夢想，青春永駐成為標配，美女總裁投懷送抱，絕美校花紛至遝來，彪悍大小姐溫柔以待，只有你想不到，沒有我拿不出，看楊凡如何走上人生巔峰，給全世界人民漲姿勢。",1,ct-v1-princess|princess|公主|公主
nrv_05858c0f81cc7befd153a55c,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Embolden star ,"The romantic love story between Micheal. L and Rosie. Love at the first sight story; Micheal is a business tycoon while Rosie is a college student working in a fast-food restaurant after her parents kicked her out of the house after being ashamed because of her as she was imprisoned in the case of murdering a girl; who used to be her classmate. 

Did she kill someone or it was someone plan? ",2,ct-v1-student|student|学生|student ;; ct-v1-tragic-ending|tragic-ending|悲剧结局|be
nrv_05a8b1b1cc823ba6cc044b92,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",异界神工,"　　龙五是一位机械厂的技工，因为一场生产事故同工友陈森同时丧生，并一起穿越到异界。龙五却因不能在异界修行，只好修习鲁班留下的三本书，转修灵魂力，制出战斗机械，飞行器，并结合地球的知识，将战斗机械制作更加完美，更因惹上乌国权贵，被逼自保，组建了一支钢铁兵团，并壮大，龙五用科技创造了一个科技王国，最终一统大陆。龙五这才发现，自己穿越自始自终都是一个阴谋，地球上那么多不世奇才，都非正常死忙，而灵魂都到了这个世界，他们是为什么?　目的何在，明白真像后龙五终其全国之力，打造宇宙飞船，赶回了地球......面对这场阴谋,龙五是要终结这场阴谋，还是延续这场阴谋呢......
",1,ct-v1-time-travel|time-travel|穿越|穿越
