canonical_tag,v2_description_edges,v3_description_edges,removed_edges,v2_review_precision_if_available,change_reason
ct-v1-adventure,33,33,0,1.0000,UNCHANGED
ct-v1-age-gap-romance,6,6,0,,UNCHANGED
ct-v1-amnesia,19,19,0,1.0000,UNCHANGED
ct-v1-apocalypse,21,21,0,0.1429,UNCHANGED
ct-v1-arranged-marriage,9,9,0,,UNCHANGED
ct-v1-assassin,21,21,0,0.2500,UNCHANGED
ct-v1-betrayal,150,150,0,0.6111,UNCHANGED
ct-v1-broken-heart,2,2,0,,UNCHANGED
ct-v1-campus,24,24,0,1.0000,UNCHANGED
ct-v1-character-growth,1,1,0,,UNCHANGED
ct-v1-chef,72,7,65,0.0000,LOW_EVIDENCE_LOCALE_RULE
ct-v1-child-centered-romance,3,3,0,,UNCHANGED
ct-v1-childhood-sweethearts,10,10,0,0.0000,UNCHANGED
ct-v1-comeback,15,15,0,,UNCHANGED
ct-v1-comedy,24,24,0,1.0000,UNCHANGED
ct-v1-contemporary-setting,11,11,0,0.0000,UNCHANGED
ct-v1-contract-marriage,6,6,0,1.0000,UNCHANGED
ct-v1-crime,89,89,0,0.6154,UNCHANGED
ct-v1-criminal-investigation,1,1,0,,UNCHANGED
ct-v1-crown-prince,70,70,0,0.3750,UNCHANGED
ct-v1-divorce,144,144,0,0.8125,UNCHANGED
ct-v1-doctor,47,0,47,0.1111,GENERIC_KEYWORD_DESCRIPTION_DISABLED
ct-v1-emotional-healing,5,5,0,,UNCHANGED
ct-v1-emperor,76,76,0,0.6667,UNCHANGED
ct-v1-ensemble-darling,6,6,0,1.0000,UNCHANGED
ct-v1-entertainment-industry,12,12,0,0.0000,UNCHANGED
ct-v1-family,296,0,296,0.2121,GENERIC_KEYWORD_DESCRIPTION_DISABLED
ct-v1-fantasy,28,28,0,0.3333,UNCHANGED
ct-v1-fated-love,2,2,0,,UNCHANGED
ct-v1-first-love,37,38,-1,0.5000,UNCHANGED
ct-v1-forbidden-love,8,10,-2,,UNCHANGED
ct-v1-future-world,1,1,0,,UNCHANGED
ct-v1-gaming-esports,2,2,0,,UNCHANGED
ct-v1-genius,131,132,-1,0.7857,UNCHANGED
ct-v1-gradually-fall-in-love,2,2,0,,UNCHANGED
ct-v1-happy-ending,642,0,642,0.0308,GENERIC_KEYWORD_HOMONYM_FULL_DISABLE; description independent trigger expected to reach zero
ct-v1-heir,43,52,-9,0.6667,UNCHANGED
ct-v1-hidden-identity,3,3,0,,UNCHANGED
ct-v1-horror,118,0,118,0.2143,GENERIC_KEYWORD_DESCRIPTION_DISABLED
ct-v1-impostor,3,3,0,,UNCHANGED
ct-v1-kidnapping,12,12,0,1.0000,UNCHANGED
ct-v1-kung-fu,5,6,-1,0.0000,UNCHANGED
ct-v1-lawyer,11,13,-2,0.6667,UNCHANGED
ct-v1-legitimate-daughter,61,61,0,0.6667,UNCHANGED
ct-v1-lgbtq-romance,2,3,-1,,UNCHANGED
ct-v1-love-after-marriage,1,1,0,,UNCHANGED
ct-v1-love-at-first-sight,3,3,0,,UNCHANGED
ct-v1-love-triangle,2,2,0,,UNCHANGED
ct-v1-mafia,68,81,-13,1.0000,UNCHANGED
ct-v1-maid,5,8,-3,,UNCHANGED
ct-v1-male-audience,1,1,0,0.0000,UNCHANGED
ct-v1-marriage,52,76,-24,0.8333,UNCHANGED
ct-v1-mature-content,12,13,-1,1.0000,UNCHANGED
ct-v1-military,17,20,-3,0.3333,UNCHANGED
ct-v1-miracle-healer,15,15,0,0.5000,UNCHANGED
ct-v1-misunderstanding,13,13,0,1.0000,UNCHANGED
ct-v1-mother-in-law,2,4,-2,,UNCHANGED
ct-v1-office-romance,0,1,-1,,UNCHANGED
ct-v1-one-night-stand,15,17,-2,1.0000,UNCHANGED
ct-v1-playboy,27,28,-1,,UNCHANGED
ct-v1-pregnancy,23,38,-15,1.0000,UNCHANGED
ct-v1-princess,69,79,-10,0.4000,UNCHANGED
ct-v1-rebirth,259,260,-1,0.9474,UNCHANGED
ct-v1-redemption,19,22,-3,,UNCHANGED
ct-v1-regret,29,31,-2,1.0000,UNCHANGED
ct-v1-revenge,76,96,-20,0.8750,UNCHANGED
ct-v1-romance,125,130,-5,0.8750,UNCHANGED
ct-v1-royalty,15,22,-7,0.5000,UNCHANGED
ct-v1-science-fiction,4,4,0,,UNCHANGED
ct-v1-secret-baby,1,1,0,,UNCHANGED
ct-v1-secretary,5,9,-4,0.0000,UNCHANGED
ct-v1-security-guard,4,4,0,,UNCHANGED
ct-v1-single-mother,0,1,-1,,UNCHANGED
ct-v1-student,46,52,-6,0.5000,UNCHANGED
ct-v1-substitute,9,9,0,,UNCHANGED
ct-v1-substitute-marriage,8,8,0,1.0000,UNCHANGED
ct-v1-supernatural,35,41,-6,0.3333,UNCHANGED
ct-v1-superpowers,1,1,0,0.0000,UNCHANGED
ct-v1-suspense,15,15,0,0.0000,UNCHANGED
ct-v1-sweetness,11,12,-1,1.0000,UNCHANGED
ct-v1-system-fantasy,1,1,0,,UNCHANGED
ct-v1-time-travel,479,480,-1,1.0000,UNCHANGED
ct-v1-tragic-ending,321,0,321,0.0000,GENERIC_KEYWORD_HOMONYM_FULL_DISABLE; description independent trigger expected to reach zero
