mapping_key,parent_mapping_key,raw_language_scope,scope_label,exact_raw_token,book_frequency,A_decision,A_target,A_confidence,B_decision,B_target,B_confidence,C_decision,C_target,C_confidence,D_decision,D_target,D_confidence,decision_vote_pattern,target_vote_pattern,consensus_tier,final_verdict,final_target,final_target_canonical_id,final_confidence,evidence_basis,minority_reason,owner_review_required
3ae9a97ddccca9a39cf7317ec08eabc743034af9b43cfc91f02677de2ae90f25,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Adolescent,2,MAP_EXISTING,young-adult,0.7,MAP_EXISTING,young-adult,0.88,MAP_EXISTING,young-adult,0.85,MAP_EXISTING,young-adult,0.74,4MAP_EXISTING,young-adult×4,TIER_2_GOOD,ACCEPT_MAP,young-adult,ct-v1-young-adult,0.79,四家同decision同target；但书证存在部分反证：仅2本，偏青春但样本极小,,false
9493a43ef28b9c0e63b17aff62cd6e86fd5c2b01c8ce4a3326235d43a2a66427,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Autres,1,IGNORE_NON_CONTENT,IGNORE_NON_CONTENT,0.9,IGNORE_NON_CONTENT,IGNORE_NON_CONTENT,0.98,IGNORE_NON_CONTENT,IGNORE_NON_CONTENT,0.9,IGNORE_NON_CONTENT,IGNORE_NON_CONTENT,0.94,4IGNORE_NON_CONTENT,IGNORE_NON_CONTENT×4,TIER_1_STRONG,ACCEPT_IGNORE,,,0.93,4/4一致：格式/兜底/目录型token，无独立内容检索语义（Others/短篇/图书家族）,,false
b8ccfb7b5c452205ca1f0c2b9444e2df59b8332776c430fece3bdabd215972cf,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Histoire,3,MAP_EXISTING,historical-romance,0.75,MAP_EXISTING,historical-romance,0.9,HUMAN_REVIEW,HUMAN_REVIEW,0.5,HUMAN_REVIEW,HUMAN_REVIEW,0.46,2MAP_EXISTING+2HUMAN_REVIEW,historical-romance×2; HUMAN_REVIEW×2,TIER_4_SPLIT,ACCEPT_MAP,historical-romance,ct-v1-historical-romance,0.68,2/3书证为重生太子妃/21世纪法医穿越皇室——支持古言；阿语scope样本极小(46本)且包装混乱，低置信接受,C/D: HUMAN_REVIEW（scope证据薄）,false
1de6cfe112f10e6e448f194a3db9ac942f556621730ba1a2111e964a5dd53096,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Horreur,1,NEW_CANONICAL,NEW:horror,0.75,NEW_CANONICAL,NEW:horror,0.95,NEW_CANONICAL,NEW:horror,0.88,HUMAN_REVIEW,HUMAN_REVIEW,0.47,3NEW_CANONICAL+1HUMAN_REVIEW,NEW:horror×3; HUMAN_REVIEW×1,TIER_2_GOOD,ACCEPT_NEW_CANONICAL,NEW:horror,,0.8,A/B/C提出同一horror概念；本scope书证干净：真鬼屋超自然书证；suspense无法承载恐惧体验检索,D: HUMAN_REVIEW（对全部Horror键一刀切0.47——对本scope过度保守）,false
b9262dee87525c3c454090110b3429e5e13e6746599d21015079173312391f0b,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,LGBT+,1,HUMAN_REVIEW,HUMAN_REVIEW,0.5,NEW_CANONICAL,NEW:lgbtq,0.8,NEW_CANONICAL,NEW:lgbt-plus,0.85,HUMAN_REVIEW,HUMAN_REVIEW,0.4,2HUMAN_REVIEW+2NEW_CANONICAL,HUMAN_REVIEW×2; NEW:lgbtq×1; NEW:lgbt-plus×1,TIER_5_SOURCE_DIRTY,DEFER_SOURCE_DIRTY,,,0.45,f=1，唯一书证（芝加哥娱乐公司CEO诱惑）无法确认同性主线；阿语scope整体包装混乱,B/C: NEW lgbt（字面）,false
7e618817e78962da9edb6baf8691390d3b3e2706d15eddc3d09d2539816c7296,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Loup-garou,1,MAP_EXISTING,werewolf,0.9,MAP_EXISTING,werewolf,0.86,MAP_EXISTING,werewolf,0.9,MAP_EXISTING,werewolf,0.95,4MAP_EXISTING,werewolf×4,TIER_1_STRONG,ACCEPT_MAP,werewolf,ct-v1-werewolf,0.9,4/4 decision+target一致，代表书证与目标语义相符，无明显反证,,false
9e3e24ba4fec19dadbbdea9febf794490cfcbbf3b3d80363d3a26ff16521de62,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Milliardaires,3,MAP_EXISTING,wealthy-ceo,0.9,MAP_EXISTING,wealthy-ceo,0.82,MAP_EXISTING,wealthy-ceo,0.9,MAP_EXISTING,wealthy-ceo,0.93,4MAP_EXISTING,wealthy-ceo×4,TIER_1_STRONG,ACCEPT_MAP,wealthy-ceo,ct-v1-wealthy-ceo,0.89,4/4 decision+target一致，代表书证与目标语义相符，无明显反证,,false
78f4a1c02b1b798180ad97f2db7e9fe234eadb604ca912f73e598ed8e664503f,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Moderne,22,MAP_EXISTING,modern-romance,0.9,MAP_EXISTING,modern-romance,0.95,MAP_EXISTING,contemporary-setting,0.85,MAP_EXISTING,modern-romance,0.9,4MAP_EXISTING,modern-romance×3; contemporary-setting×1,TIER_3_TARGET_CONFLICT,ACCEPT_MAP,modern-romance,ct-v1-modern-romance,0.88,女频共现~100%，书证全为现代豪门婚恋/复仇言情；modern-romance为检索等价入口,C: contemporary-setting（setting facet字面映射，不错但检索价值低）,false
59b85bb4453c8d7376fd95163cbee8167ed7197deb41b88bb80ef96b4b34eefa,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Nouvelles,1,IGNORE_NON_CONTENT,IGNORE_NON_CONTENT,0.85,IGNORE_NON_CONTENT,IGNORE_NON_CONTENT,0.98,IGNORE_NON_CONTENT,IGNORE_NON_CONTENT,0.9,IGNORE_NON_CONTENT,IGNORE_NON_CONTENT,0.92,4IGNORE_NON_CONTENT,IGNORE_NON_CONTENT×4,TIER_1_STRONG,ACCEPT_IGNORE,,,0.91,4/4一致：格式/兜底/目录型token，无独立内容检索语义（Others/短篇/图书家族）,,false
e3784ea74ed2174d2d3a4da726c0dd1ca5b4164798bc9964a131219f5d9c212c,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Romance,8,MAP_EXISTING,romance,0.88,MAP_EXISTING,romance,0.95,MAP_EXISTING,romance,0.95,MAP_EXISTING,romance,0.9,4MAP_EXISTING,romance×4,TIER_1_STRONG,ACCEPT_MAP,romance,ct-v1-romance,0.92,4/4 decision+target一致，代表书证与目标语义相符，无明显反证,,false
c7db0384a0ae08abcc7e8c57a169136d3aa3d7b405f2bbd0b17102b6bf181e32,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Science-fiction,1,HUMAN_REVIEW,HUMAN_REVIEW,0.45,HUMAN_REVIEW,HUMAN_REVIEW,0.2,HUMAN_REVIEW,HUMAN_REVIEW,0.55,HUMAN_REVIEW,HUMAN_REVIEW,0.45,4HUMAN_REVIEW,HUMAN_REVIEW×4,TIER_5_SOURCE_DIRTY,DEFER_SOURCE_DIRTY,,,0.42,4/4 HUMAN_REVIEW；交叉验证确认为来源侧脏数据：f=1，书证为亿万富翁一夜情,,false
c40a596f73ae3ecf4f42e5f635fdd31cda11e5e8832a6daf2ccbc6468e30b916,,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""10\""]"",[""string"",""阿拉伯语""]]",AR,Xuanhuan,1,HUMAN_REVIEW,HUMAN_REVIEW,0.42,MAP_EXISTING,modern-romance,0.72,HUMAN_REVIEW,HUMAN_REVIEW,0.5,HUMAN_REVIEW,HUMAN_REVIEW,0.42,3HUMAN_REVIEW+1MAP_EXISTING,HUMAN_REVIEW×3; modern-romance×1,TIER_5_SOURCE_DIRTY,DEFER_SOURCE_DIRTY,,,0.45,罗马化「玄幻」在非中文scope系统性失真：本scope书证为CEO言情/芭蕾重生/县令穿越混装，与玄幻无关；同字符串结论不得跨scope复制,B: 按书证给modern-romance类目标；C: eastern-fantasy（字面）,false
